,x,y
0,191.170876262609,3.33690005754809
1,191.08352307615235,6.672783663013374
2,190.7382411381236,9.996167642402272
3,190.7342433653545,13.337437566996893
4,190.37281288562247,16.655462971033913
5,190.05314027495695,19.975389968439686
6,189.5763149634925,23.277044590383166
7,189.24023398063073,26.595980442913703
8,188.84600770760474,29.91026923829204
9,188.19676761142247,33.18416781201475
10,187.6871144795049,36.48267933369252
11,187.02181827523407,39.752714649859456
12,186.4944244528111,43.055630428423484
13,185.81163158185333,46.32804300733637
14,185.26457643001498,49.64149364051652
15,184.65837765682684,52.94993773480245
16,183.993029210467,56.25231420415928
17,183.36369924409976,59.578477458534884
18,182.8632867499205,62.964879084903785
19,182.20639343495904,66.31770370332187
20,181.4880292129333,69.66672720430199
21,181.07900962643416,73.16066883733622
22,180.2348531151457,76.50515615061659
23,179.96845515559238,80.12711868593264
24,178.99578793973836,83.46710669378814
25,178.59037425674273,87.10434552918711
26,177.66669548488832,90.52570287712751
27,177.29587934061476,94.26989124012039
28,176.4107922608886,97.78609892416463
29,176.06296723227618,101.65000152587889
30,175.03356018750432,105.17077332486159
31,174.7827177939142,109.21636359283404
32,185.76553079991143,120.6375462558285
33,183.714731138241,123.91715082216014
34,181.44217781001169,127.0471806517567
35,179.19726425405085,130.1944333827828
36,176.89776547547535,133.30202762817868
37,174.62318780888552,136.43058668986532
38,172.2932572833492,139.52032877521552
39,169.75545327072976,142.44173822980133
40,167.243647583748,145.38268482856296
41,105.02239601634162,97.93496866756243
42,103.36912711341333,99.8224057150288
43,101.61124229858824,101.61124229858822
44,99.6834761608661,103.22526134859643
45,97.86676466896853,104.94925618235096
46,96.08715915718115,106.71560147434987
47,94.21008056730338,108.37630032637178
48,92.2400219900184,109.92737758757335
49,90.30747611565168,111.52044546907533
50,88.34742170923197,113.0795431425646
51,86.36045582231894,114.60419569178651
52,84.40596581675561,116.17484533009032
53,82.36557976084298,117.63023855960652
54,80.356018522225,119.1326966461376
55,78.21016875237075,120.43309867580182
56,76.09640957825873,121.77971178413758
57,74.01096979280331,123.17493849502654
58,71.84999847412111,124.44784788092403
59,48.77184705702074,87.98674120365945
60,46.99410271851092,88.38305269790747
61,45.08125800960605,88.47695057104104
62,43.31107064056342,88.80085451725945
63,41.458850831898324,88.90879252537943
64,39.69749574356724,89.1620352719581
65,37.90091946345955,89.28897078488671
66,36.186996352372795,89.56595893638138
67,34.43915940447727,89.7170775618504
68,32.765530774361714,90.02255593900432
69,30.994087310766165,90.01336551156125
70,29.35661446562001,90.35036904803958
71,27.68759954499554,90.56205747128895
72,25.992603494721475,90.64698086052137
73,24.35487174922068,90.89361877991549
74,22.740658186368762,91.20779826994367
75,21.10040958395067,91.39591505039652
76,19.481324795127936,91.652427203688
77,17.84064106770695,91.78214165235659
78,16.218740059057392,91.9810456340376
79,14.595336065653646,92.15132519171196
80,12.984850744296706,92.39201383564684
81,11.370410111615982,92.60455897714581
82,9.742052457549748,92.6894376132831
83,8.131631064334723,92.94496837210481
84,6.501303140072608,92.97296643989174
85,4.877710962125715,93.07226959155079
86,3.252632986168289,93.14322202828096
87,1.6265642266943137,93.18580213728265
88,5.706853897160394e-15,93.19999694824219
89,-1.6265642266943023,93.18580213728265
90,-3.2526329861682775,93.14322202828096
91,-4.877710962125703,93.07226959155079
92,-6.501303140072617,92.97296643989174
93,-8.122914958103529,92.84534282200573
94,-9.731599770720768,92.58998694126626
95,-11.358222433444013,92.50529830396074
96,-12.984850744296695,92.39201383564684
97,-14.579691664349411,92.05255032928123
98,-16.18400962862572,91.78407957534303
99,-17.80247985093447,91.58581921135547
100,-19.377368949719045,91.16335340332111
101,-20.987934056778744,90.90873001800391
102,-22.61969723856894,90.72265040680567
